"loading_type","loading_label","roi_name","band_name","condition_name","roi_index","band_index","condition_index","fro_norm","delta_hat","sdest","ci_low","ci_high","excludes_zero","N","rank1","rank2","rank3","cv_mean_val_mse","cv_mean_val_r2","loading_normalization"
"shared_band","shared: delta","","delta","shared","NaN","1","NaN","3.16227766016838","0.258462281652403","4.93202378981918","-0.226689913103697","0.743614476408503","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"shared_band","shared: theta","","theta","shared","NaN","2","NaN","3.16227766016838","-1.67062558564035","6.46796185146638","-2.30686458641627","-1.03438658486443","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"shared_band","shared: alpha1","","alpha1","shared","NaN","3","NaN","3.16227766016838","-0.0290084228173542","4.114931583588","-0.433785077214251","0.375768231579542","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"shared_band","shared: alpha2","","alpha2","shared","NaN","4","NaN","3.16227766016838","1.14234901765695","3.7329144660883","0.775150536214519","1.50954749909938","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"shared_band","shared: beta1","","beta1","shared","NaN","5","NaN","3.16227766016838","0.988733426810523","7.60426114028211","0.240719195954259","1.73674765766679","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"shared_band","shared: beta2","","beta2","shared","NaN","6","NaN","3.16227766016838","0.546734226205051","9.16446032157362","-0.354753322971926","1.44822177538203","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"shared_band","shared: gamma1","","gamma1","shared","NaN","7","NaN","3.16227766016838","-1.69234252860258","11.8774684033802","-2.86070263991044","-0.523982417294723","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"shared_band","shared: gamma2","","gamma2","shared","NaN","8","NaN","3.16227766016838","0.988346836662592","8.26271482597131","0.175561983365947","1.80113168995924","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"shared_global","shared: global","","","shared","NaN","NaN","NaN","8.94427190999916","0.00348486083163484","1.31355258436424","-0.125726381122902","0.132696102786172","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_band","contrast: delta","","delta","contrast","NaN","1","NaN","3.16227766016838","0.737846047877247","22.106360037919","-1.43670734998017","2.91239944573467","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_band","contrast: theta","","theta","contrast","NaN","2","NaN","3.16227766016838","-6.08746720303641","28.5067641668636","-8.89161409898143","-3.2833203070914","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_band","contrast: alpha1","","alpha1","contrast","NaN","3","NaN","3.16227766016838","4.33969442329393","18.6680791741211","2.50335705568007","6.17603179090779","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_band","contrast: alpha2","","alpha2","contrast","NaN","4","NaN","3.16227766016838","-0.366616889826278","19.9527319501533","-2.32932268961966","1.5960889099671","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_band","contrast: beta1","","beta1","contrast","NaN","5","NaN","3.16227766016838","10.1116317373814","33.8159249472534","6.78523452094196","13.4380289538208","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_band","contrast: beta2","","beta2","contrast","NaN","6","NaN","3.16227766016838","-7.91730325130588","40.6991843816051","-11.9207913667277","-3.91381513588403","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_global","contrast: global","","","contrast","NaN","NaN","NaN","8.94427190999916","0.281789198330178","3.97884560479141","-0.109600981446507","0.673179378106863","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"shared_roi_group","shared: anterior","anterior","","shared","NaN","NaN","NaN","4.89897948556636","-0.00223279656385128","2.292160886464","-0.227707557471861","0.223241964344159","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"shared_roi_group","shared: central","central","","shared","NaN","NaN","NaN","5.65685424949238","0.742900653473957","9.12769586933781","-0.15497045842467","1.64077176537258","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"shared_roi_group","shared: posterior","posterior","","shared","NaN","NaN","NaN","4.89897948556636","0.906722426981","5.8684952677314","0.329451618812401","1.4839932351496","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_band","contrast: gamma1","","gamma1","contrast","NaN","7","NaN","3.16227766016838","-19.3913145978325","49.7247246541241","-24.2826250066324","-14.5000041890327","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_band","contrast: gamma2","","gamma2","contrast","NaN","8","NaN","3.16227766016838","19.7171546279287","49.8060703509831","14.8178424241159","24.6164668317415","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_roi_group","contrast: anterior","anterior","","contrast","NaN","NaN","NaN","4.89897948556636","0.0794203847468132","9.23151156084263","-0.828662845489047","0.987503614982673","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_roi_group","contrast: central","central","","contrast","NaN","NaN","NaN","5.65685424949238","1.45361167198247","17.5438436251722","-0.272137148771323","3.17936049273626","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"contrast_roi_group","contrast: posterior","posterior","","contrast","NaN","NaN","NaN","4.89897948556636","-0.885690829658296","17.3252233613849","-2.58993446201184","0.818552802695247","0","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
